date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
23. September 2026,"14,735.00","14,658.00","2,52,500","3,949.00","3,893.00","1,14,875","3,240.00","3,260.00","2,41,375"
22. September 2026,"14,797.00","14,760.00","2,54,250","4,006.00","3,938.00","1,14,725","3,242.00","3,264.00","2,42,125"
21. September 2026,"14,788.00","14,730.00","2,55,875","4,018.00","3,931.00","1,16,850","3,262.50","3,273.00","2,42,200"
18. September 2026,"14,529.00","14,515.00","2,55,100","4,010.00","3,913.00","1,15,300","3,285.00","3,282.00","2,42,600"
17. September 2026,"14,400.50","14,409.00","2,55,900","3,941.00","3,862.00","1,14,250","3,303.50","3,285.00","2,42,600"
16. September 2026,"14,227.00","14,232.00","2,54,150","3,937.00","3,837.00","1,12,675","3,310.00","3,289.00","2,43,600"
15. September 2026,"14,045.00","14,077.00","2,49,225","3,922.00","3,794.00","1,11,225","3,260.00","3,236.00","2,43,600"
14. September 2026,"14,044.00","14,065.50","2,42,900","3,951.00","3,809.00","1,09,550","3,311.00","3,257.00","2,43,850"
11. September 2026,"14,238.50","14,233.00","2,34,475","4,015.00","3,872.00","1,09,575","3,274.00","3,250.00","2,44,100"
10. September 2026,"14,390.00","14,371.00","2,34,750","4,105.00","3,962.00","1,11,350","3,343.00","3,318.00","2,44,350"
09. September 2026,"14,672.00","14,632.00","2,35,825","4,186.00","4,036.00","1,15,675","3,352.00","3,338.00","2,44,525"
08. September 2026,"14,737.00","14,705.00","2,37,725","4,110.00","4,004.00","1,15,375","3,325.00","3,319.00","2,44,525"
07. September 2026,"14,540.00","14,448.00","2,36,475","4,157.00","3,975.00","1,13,100","3,310.00","3,308.00","2,44,525"
04. September 2026,"14,371.00","14,365.00","2,34,175","4,087.00","3,930.00","1,12,175","3,292.50","3,293.00","2,44,525"
03. September 2026,"14,359.00","14,275.00","2,34,650","3,995.50","3,868.00","1,10,500","3,303.00","3,303.50","2,45,975"
02. September 2026,"14,355.00","14,227.00","2,33,850","4,000.00","3,877.00","1,00,525","3,255.50","3,253.50","2,46,225"
01. September 2026,"14,395.50","14,215.00","2,33,500","4,115.00","3,937.00","99,125","3,261.00","3,261.00","2,46,725"
28. August 2026,"14,535.00","14,370.00","2,34,275","4,070.00","3,930.00","97,950","3,222.00","3,241.00","2,46,725"
27. August 2026,"14,490.00","14,236.00","2,35,575","4,107.00","3,890.00","97,875","3,212.50","3,216.00","2,46,825"
26. August 2026,"14,525.00","14,336.00","2,37,475","4,107.00","3,933.00","97,325","3,227.50","3,239.00","2,46,825"
25. August 2026,"14,425.00","14,298.00","2,38,725","3,987.00","3,853.00","95,050","3,188.00","3,206.50","2,46,825"
24. August 2026,"14,344.00","14,245.00","2,40,250","3,985.00","3,840.00","93,250","3,215.50","3,235.00","2,46,925"
21. August 2026,"14,291.00","14,235.00","2,38,575","3,980.00","3,824.00","93,125","3,227.00","3,244.00","2,46,925"
20. August 2026,"14,170.00","13,970.50","2,39,925","3,865.50","3,743.00","94,400","3,182.00","3,183.00","2,46,925"
19. August 2026,"14,180.00","13,890.00","2,35,975","3,750.00","3,652.00","95,050","3,191.50","3,212.00","2,46,925"
18. August 2026,"14,335.00","14,080.00","2,23,550","3,795.00","3,724.00","86,525","3,219.00","3,234.00","2,46,925"
17. August 2026,"14,850.00","14,315.00","2,07,825","3,855.00","3,768.00","86,825","3,272.00","3,272.00","2,46,925"
14. August 2026,"14,545.00","14,134.00","2,04,975","3,875.00","3,763.50","88,000","3,248.00","3,246.00","2,48,300"
13. August 2026,"14,285.00","14,082.00","2,07,725","3,806.00","3,727.50","92,550","3,279.00","3,275.00","2,50,000"
12. August 2026,"14,376.00","14,201.00","2,12,125","3,852.00","3,780.00","95,350","3,307.50","3,308.50","2,51,700"
11. August 2026,"14,424.50","14,217.00","2,14,550","3,822.00","3,741.00","97,075","3,373.00","3,374.00","2,53,400"
10. August 2026,"14,290.00","14,152.00","2,18,300","3,786.00","3,721.00","97,125","3,327.50","3,320.50","2,54,900"
07. August 2026,"14,240.00","14,092.00","2,22,975","3,785.00","3,732.00","97,075","3,279.50","3,280.00","2,56,400"
06. August 2026,"14,455.00","14,260.00","2,26,650","3,857.00","3,797.00","97,475","3,261.00","3,260.00","2,57,900"
05. August 2026,"14,167.50","14,055.00","2,31,825","3,737.00","3,693.00","98,450","3,229.00","3,229.50","2,59,400"
04. August 2026,"14,195.00","14,070.00","2,38,350","3,730.00","3,672.50","98,650","3,271.00","3,236.50","2,60,900"
03. August 2026,"13,945.00","13,876.00","2,44,025","3,751.00","3,678.00","99,825","3,260.00","3,212.00","2,62,650"
31. July 2026,"13,834.00","13,800.00","2,49,850","3,710.50","3,631.00","99,800","3,196.00","3,179.00","2,64,400"
30. July 2026,"13,795.00","13,770.00","2,55,400","3,662.00","3,601.00","1,00,700","3,231.00","3,187.00","2,66,300"
29. July 2026,"13,633.00","13,608.00","2,62,300","3,639.00","3,579.00","1,01,800","3,207.00","3,177.00","2,67,800"
28. July 2026,"13,643.50","13,606.00","2,68,775","3,631.50","3,576.00","1,02,500","3,159.50","3,143.50","2,69,300"
27. July 2026,"13,810.00","13,771.00","2,72,975","3,685.50","3,621.00","1,03,725","3,192.00","3,181.00","2,71,275"
24. July 2026,"13,617.00","13,617.00","2,76,775","3,633.00","3,592.00","1,05,800","3,175.00","3,160.50","2,72,775"
23. July 2026,"13,745.00","13,741.00","2,81,425","3,653.00","3,611.00","1,06,075","3,194.00","3,182.00","2,75,175"
22. July 2026,"13,895.00","13,876.00","2,84,175","3,614.00","3,583.00","1,07,650","3,205.00","3,185.00","2,76,775"
21. July 2026,"13,856.00","13,836.00","2,90,925","3,591.00","3,566.00","1,08,500","3,183.50","3,170.50","2,78,275"
20. July 2026,"13,629.00","13,616.00","2,95,275","3,575.00","3,545.50","1,09,150","3,156.00","3,147.50","2,79,775"
17. July 2026,"13,373.50","13,415.00","2,96,625","3,549.00","3,529.00","1,11,725","3,154.00","3,146.50","2,80,100"
16. July 2026,"13,565.00","13,606.00","3,00,600","3,591.00","3,576.50","1,11,875","3,170.00","3,166.50","2,81,600"
15. July 2026,"13,537.00","13,585.00","3,02,275","3,553.50","3,550.00","1,12,450","3,153.50","3,150.50","2,83,100"
14. July 2026,"13,541.00","13,592.00","3,03,525","3,589.50","3,587.00","1,13,450","3,171.00","3,167.50","2,84,600"
13. July 2026,"13,460.50","13,503.00","3,05,200","3,571.00","3,565.00","1,14,275","3,138.50","3,147.00","2,86,225"
10. July 2026,"13,408.50","13,454.00","3,06,500","3,602.00","3,588.00","1,14,800","3,156.00","3,153.00","2,87,725"
09. July 2026,"13,356.50","13,411.00","3,07,750","3,622.00","3,615.00","1,15,525","3,164.00","3,169.00","2,89,225"
08. July 2026,"13,090.00","13,169.00","3,10,650","3,529.00","3,537.00","1,15,925","3,141.00","3,147.00","2,90,825"
07. July 2026,"13,309.00","13,360.50","3,12,575","3,560.00","3,562.00","1,16,350","3,119.00","3,127.50","2,92,425"
06. July 2026,"13,310.00","13,370.00","3,14,950","3,599.00","3,582.00","1,18,425","3,105.00","3,113.00","2,95,550"
03. July 2026,"13,298.50","13,345.00","3,18,900","3,546.00","3,532.00","1,18,675","3,080.00","3,087.00","2,98,775"
02. July 2026,"13,202.00","13,250.00","3,22,350","3,475.00","3,465.00","1,18,950","3,061.50","3,065.00","3,00,275"
01. July 2026,"13,170.00","13,209.00","3,24,850","3,529.00","3,512.00","1,19,200","3,075.00","3,073.00","3,01,775"
30. June 2026,"13,341.00","13,366.00","3,29,225","3,565.50","3,546.00","1,19,825","3,105.50","3,112.00","3,03,675"
29. June 2026,"13,302.50","13,330.00","3,33,100","3,491.00","3,479.00","1,20,525","3,160.50","3,166.00","3,05,225"
26. June 2026,"13,287.00","13,310.00","3,36,475","3,460.00","3,447.00","1,21,300","3,164.00","3,176.00","3,06,725"
25. June 2026,"13,194.00","13,235.00","3,39,100","3,432.00","3,425.00","1,22,400","3,132.00","3,146.00","3,08,225"
