time,USDINR,Dollar Index,LME Copper,Comex Copper,US 30 Y,US 10 Y,US 03 Y,US 02 Y,Comex Silver,Comex Gold,US Oil,MCX Zinc,MCX Aluminium,MCX Copper,LME Zinc,LME Aluminium
21-12-2017,64,93.278,7086.3,3.2195,2.87700009,2.4858,1.98599994,1.8899,16.097,1266.7725,58.21,207.1,136.8,456.75,3238.8,2150.4
22-12-2017,64.0369,93.347,7137.1,3.2385,2.83999991,2.4837,1.99399996,1.8948,16.358,1274.756,58.35,209.45,139.6,460,3269.9,2192.9
25-12-2017,64.045,93.347,7137.1,3.2385,2.83999991,2.4837,1.99399996,1.8948,16.358,1274.756,58.35,209.45,139.6,460,3269.9,2192.9
26-12-2017,64.04,93.257,7137.1,3.2805,2.84980011,2.4783,2.01929998,1.9075,16.52,1282.7685,59.79,209.25,138.75,464.85,3269.9,2192.9
27-12-2017,64.1504,93.025,7229.9,3.284,2.82200003,2.412,2.01699996,1.9071,16.66,1287.2085,59.58,210.65,143.55,466.25,3272.3,2243.9
28-12-2017,64.0472,92.602,7284,3.3085,2.74799991,2.4337,1.97800004,1.9231,16.83,1294.808,59.87,211.95,145.6,468.95,3299.8,2279.8
29-12-2017,63.8336,92.124,7265.8,3.3005,2.7579999,2.4099,2.00099993,1.887,16.9,1303.247,60.09,212.6,144.95,466,3318.6,2278.9
01-01-2018,63.675,92.124,7265.8,3.3005,2.7579999,2.4099,2.00099993,1.887,16.9,1303.247,60.09,211.8,144.65,465,3318.6,2278.9
02-01-2018,63.45,91.872,7219.5,3.278,2.73909998,2.4651,1.9734,1.9352,17.15,1317.625,60.33,213.65,143.45,460.3,3348.8,2263.6
03-01-2018,63.4428,92.162,7178.5,3.2575,2.80900002,2.4493,2.01200008,1.9433,17.09,1313.1355,61.92,212.35,141.4,457.55,3329.6,2232.5
04-01-2018,63.368,91.853,7191.6,3.263,2.78200006,2.4548,2.0150001,1.9636,17.2,1322.731,61.88,213.9,142,457.7,3358.4,2248.6
05-01-2018,63.32,91.949,7123.3,3.2295,2.78500009,2.479,2.03999996,1.9761,17.185,1319.864,61.57,213.8,139.2,452.5,3356.1,2202.6
08-01-2018,63.45,92.358,7114,3.224,2.80809999,2.4822,2.05960011,1.964,17.09,1320.3415,61.88,216,137.75,453.85,3381.6,2173.5
09-01-2018,63.6311,92.528,7094.6,3.216,2.80999994,2.5553,2.05999994,1.9804,16.941,1312.8585,63.45,213.3,136.9,453.75,3335.1,2154.9
10-01-2018,63.65,92.332,7138.9,3.2355,2.89299989,2.5577,2.079,1.9846,16.956,1316.7715,63.47,214.65,138.9,457.1,3347.4,2183.5
11-01-2018,63.6896,91.852,7135.9,3.233,2.89899993,2.5376,2.09200001,1.9929,16.96,1322.5245,63.52,216.65,138.8,456.15,3384.5,2183.5
